iter	RMSE
154	0.8683483943
155	0.8682810659
156	0.8681793864
157	0.8681192548
158	0.8679466085
159	0.867887816
160	0.8675541989
161	0.8674201231
162	0.8673557646
163	0.8672684044
164	0.8672107853
165	0.8671423345
166	0.8671016979
167	0.8670029883
168	0.8669064576
169	0.8668147181
170	0.8667199794
171	0.8666673171
172	0.8666318829
173	0.8665758442
174	0.8665261537
175	0.8664276655
176	0.866377855
177	0.866356027
178	0.8662994561
179	0.8661557999
180	0.866056712
181	0.8659426751
182	0.8658616236
183	0.8658132101
184	0.8657507078
185	0.8656912718
186	0.8656266745
187	0.8655401642
188	0.8655034472
189	0.865445042
190	0.8653550632
191	0.8653025486
192	0.8652205524
193	0.8651745822
194	0.8651056392
195	0.8650437208
196	0.8649868362
197	0.8649312901
198	0.8648662748
199	0.8647987821
200	0.8647571881
201	0.864633957
202	0.8645761305
203	0.8645277133
204	0.8644394908
205	0.8643713024
206	0.8642804636
207	0.8642193693
208	0.8641858621
209	0.8641449813
210	0.8641094084
211	0.864018167
212	0.8639231249
213	0.8638324017
214	0.8637957953
215	0.8637511164
216	0.8636634215
217	0.8636278458
218	0.8635762386
219	0.863506119
220	0.8634192821
221	0.863380378
222	0.8632808836
223	0.8632543868
224	0.8631817524
225	0.8631465923
226	0.8629480554
227	0.8628653153
228	0.8627645584
229	0.8626436869
230	0.8625712283
231	0.862519037
232	0.8624705879
233	0.8624345981
234	0.8623599742
235	0.8622977327
236	0.862260077
237	0.8622094624
238	0.8620879028
239	0.8620355862
240	0.8619636843
241	0.8619315003
242	0.8618713348
243	0.8618039954
244	0.8617761088
245	0.8617108745
246	0.8616639508
247	0.8616282588
248	0.861592723
249	0.8615481302
250	0.8614542105
251	0.8614002588
252	0.8613724936
253	0.8613191123
254	0.8612813628
255	0.8612352256
256	0.8611898473
257	0.8611143674
258	0.8610214002
259	0.8609835151
260	0.8609375686
261	0.8608865006
262	0.8608058407
263	0.860722471
264	0.8606098252
265	0.8605695679
266	0.8605358397
267	0.8604886427
268	0.8604496304
269	0.8604027137
270	0.8603470091
271	0.8603119296
272	0.8602774985
273	0.8602316401
274	0.8601823147
275	0.8601524798
276	0.8600940847
277	0.8600251576
278	0.859997417
279	0.8599483062
280	0.8599187256
281	0.8598788504
282	0.8598212596
283	0.8597740879
284	0.8597191852
285	0.8596203755
286	0.8595481892
287	0.8594942016
288	0.8593958604
289	0.8593229339
290	0.8592425486
291	0.8592139214
292	0.8591499444
293	0.8590988757
294	0.8590106145
295	0.8589293164
296	0.8589024909
297	0.8588226566
298	0.8587603162
299	0.8586976839
300	0.8586229408
301	0.8585533379
302	0.8584751337
303	0.8584040703
304	0.8583801918
305	0.8583350494
306	0.8582806194
307	0.8582421428
308	0.8582158285
309	0.8581518247
310	0.858094245
311	0.8579362
312	0.8579072407
313	0.8578210851
314	0.8577903947
315	0.8577698159
316	0.8577188883
317	0.8576601945
318	0.8575876213
319	0.8575446544
320	0.8574943655
321	0.857460115
322	0.857407769
323	0.8573689014
324	0.8573179635
325	0.8572768936
326	0.8572028231
327	0.857155205
328	0.8571075872
329	0.8570566644
330	0.8570084
331	0.8569795972
332	0.8569646664
333	0.8569395777
334	0.8568936202
335	0.8568638631
336	0.8568218899
337	0.8567871556
338	0.8567542159
339	0.8566861071
340	0.8566510491
341	0.8566041518
342	0.8565643551
343	0.8564999625
344	0.8564689428
345	0.8564479406
346	0.8564112404
347	0.8563427762
348	0.8562848331
349	0.8562245663
350	0.856203882
351	0.8561617314
352	0.8560821661
353	0.8560568885
354	0.8560230151
355	0.8559825928
356	0.8559147085
357	0.8558662446
358	0.8556706754
359	0.8556521999
360	0.8556395737
361	0.8555636693
362	0.8555194189
363	0.8554812204
364	0.8554295092
365	0.8553733287
366	0.855345397
367	0.8553312641
368	0.8552782379
369	0.8552034032
370	0.8551474795
371	0.8551110066
372	0.8550916762
373	0.8550295252
374	0.8550041624
375	0.8549828942
376	0.8549458764
377	0.8548883981
378	0.8548543683
379	0.8547979079
380	0.854761615
381	0.8546928332
382	0.8546610986
383	0.8545847464
384	0.8545564374
385	0.8544362434
386	0.8543882215
387	0.8543300495
388	0.8542979411
389	0.8542446796
390	0.8542130373
391	0.8541649657
392	0.8541270701
393	0.8540848257
394	0.8539942445
395	0.8539648349
396	0.8539458582
397	0.8539036251
398	0.8538637249
399	0.8538420266
400	0.8538045391
401	0.8537798749
402	0.8537192138
403	0.8536919791
404	0.8536529087
405	0.8536369795
406	0.8536173386
407	0.8535723469
408	0.8535244853
409	0.853507298
410	0.8534730239
411	0.8534402781
412	0.8533986071
413	0.8533410245
414	0.853315341
415	0.8532752255
416	0.8532304106
417	0.8531255512
418	0.8530775371
419	0.8530360229
420	0.8530047029
421	0.8529770534
422	0.8528946667
423	0.8528556086
424	0.8528098783
425	0.8527944822
426	0.8527611406
427	0.8527204203
428	0.852694992
429	0.8526679983
430	0.8526149282
431	0.8525523449
432	0.8525262238
433	0.8525040178
434	0.8524768348
435	0.8523975533
436	0.8523516406
437	0.8522917698
438	0.8522482333
439	0.852222407
440	0.8521873828
441	0.8521694158
442	0.8521340543
443	0.852096124
444	0.8520619186
445	0.8520269685
446	0.8519852145
447	0.8519442959
448	0.8518938069
449	0.8518480053
450	0.851790586
451	0.8517651569
452	0.8517310071
453	0.8516981016
454	0.8516366853
455	0.8515761967
456	0.8515407569
457	0.8515048988
458	0.8514447532
459	0.8514079394
460	0.8513811406
461	0.8512840128
462	0.851256683
463	0.8512370137
464	0.8511878136
465	0.8511614969
466	0.851076208
467	0.8510202914
468	0.8508588188
469	0.8508199989
470	0.8507574783
471	0.8507176469
472	0.8506636948
473	0.85061535
474	0.8505911305
475	0.850559026
476	0.8505053188
477	0.8504496012
478	0.8503987979
479	0.8503399527
480	0.850301577
481	0.850240581
482	0.8502006625
483	0.850143529
484	0.8500816948
485	0.8500529199
486	0.8500181469
487	0.8499872612
488	0.8499604775
489	0.849918444
490	0.8498732359
491	0.8498509429
492	0.8498381542
493	0.8498167126
494	0.8497666334
495	0.8497306923
496	0.8496858823
497	0.8496417473
498	0.8496130165
499	0.8495962205
500	0.8495407454
501	0.8494732716
502	0.8494143628
503	0.8493826572
504	0.8493159127
505	0.8492607288
506	0.8492206719
507	0.8491702946
508	0.8491344883
509	0.8490950256
510	0.8490279141
511	0.848996981
512	0.8489696942
513	0.848927902
514	0.8488993695
515	0.8488713404
516	0.8488412296
517	0.8488196325
518	0.8487705016
519	0.8487158273
520	0.8486842629
521	0.8486407222
522	0.8485652078
523	0.8485217146
524	0.8484708478
525	0.8484373356
526	0.8484110779
527	0.8483818376
528	0.8483563007
529	0.8483215296
530	0.8482164114
531	0.8482004066
532	0.8481497258
533	0.8481214963
534	0.8481067005
535	0.8480647568
536	0.8480108329
537	0.8479807115
538	0.8479309205
539	0.8478925047
540	0.8477812731
541	0.8477375224
542	0.8477059516
543	0.8476752789
544	0.8476467206
545	0.8475834367
546	0.8475231326
547	0.8474784652
548	0.8474337364
549	0.8474006436
550	0.8473732317
551	0.8473264737
552	0.8472786357
553	0.8472462604
554	0.847210995
555	0.8471554882
556	0.8471137063
557	0.8470598479
558	0.8470322127
559	0.8469732724
560	0.8469065288
561	0.8468857316
562	0.8468479769
563	0.8468325121
564	0.8467603969
565	0.8467049582
566	0.8466646013
567	0.8466316557
568	0.8465847429
569	0.8465359803
570	0.8464960127
571	0.846449565
572	0.8464256484
573	0.8463972949
574	0.8463607125
575	0.8463126491
576	0.8462639867
577	0.8462185568
578	0.846168184
579	0.846157837
580	0.8461003835
581	0.8460781112
582	0.8460328214
583	0.8459979435
584	0.8459697847
585	0.8459136278
586	0.8458735194
587	0.845858458
588	0.8457483644
589	0.8456891152
590	0.8456627451
591	0.8456132089
592	0.8455860092
593	0.8455278443
594	0.8454376417
595	0.8454014705
596	0.8453579828
597	0.8453184799
598	0.8452721838
599	0.845220749
600	0.8451867033
601	0.8451646265
602	0.8451437283
603	0.8451089831
604	0.8450842253
605	0.8450364862
606	0.8449800856
607	0.8449528573
608	0.8449002417
609	0.8448799279
610	0.8448459227
611	0.8448027924
612	0.8447389448
613	0.8447100422
614	0.8446838293
615	0.8446666318
616	0.8446227457
617	0.8445824384
618	0.8445492446
619	0.8445057813
620	0.8444608242
621	0.8444433794
622	0.8444209878
623	0.844382413
624	0.8443581653
625	0.8443031521
626	0.844248972
627	0.8442211829
628	0.8441700184
629	0.8441192968
630	0.8440778716
631	0.8440100891
632	0.8439394285
633	0.8438946296
634	0.8438556045
635	0.8438430794
636	0.8437907532
637	0.8437572823
638	0.8437230918
639	0.8436906725
640	0.8436584896
641	0.8436185976
642	0.8436022757
643	0.8435861725
644	0.8435587625
645	0.8435326654
646	0.8434820031
647	0.8434687479
648	0.8434193644
649	0.8433777007
650	0.8433494021
651	0.8433006578
652	0.8432286744
653	0.8432005974
654	0.8431468423
655	0.8430990488
656	0.8430669207
657	0.8430351826
658	0.8430054918
659	0.8429459092
660	0.8429145071
661	0.8428671256
662	0.8428234682
663	0.8427968902
664	0.84274891
665	0.8427225496
666	0.8426823457
667	0.8426540612
668	0.8426160443
669	0.8425937683
670	0.842561393
671	0.8425276724
672	0.8424943413
673	0.8424724662
674	0.8424299992
675	0.842410392
676	0.8423872406
677	0.84236517
678	0.842338432
679	0.8423008577
680	0.8422759505
681	0.8422449349
682	0.8422177867
683	0.8421931167
684	0.8421682886
685	0.8421348444
686	0.842069466
687	0.8420319615
688	0.8419625813
689	0.8419266847
690	0.8419143167
691	0.8418999498
692	0.8418840804
693	0.8418547539
694	0.8418201978
695	0.8416975988
696	0.8416633879
697	0.8415855787
698	0.8415416763
699	0.8415245409
700	0.8414781938
701	0.8414312002
702	0.8413924317
703	0.8413734929
704	0.8413158089
705	0.841279681
706	0.8412409619
707	0.8412059025
708	0.8411909291
709	0.8411509407
710	0.8410912265
711	0.8410461772
712	0.8410186252
713	0.8409787514
714	0.8409438925
715	0.840903029
716	0.8408220419
717	0.8407902475
718	0.8407548442
719	0.8407136643
720	0.8406957764
721	0.8406519404
722	0.8406278386
723	0.840586081
724	0.8405400681
725	0.8405245046
726	0.84049205
727	0.8404212973
728	0.8403772372
729	0.8403488622
730	0.8403194271
731	0.8402830933
732	0.8402539748
733	0.8401877785
734	0.8401372631
735	0.8400970088
736	0.8400649129
737	0.8399897785
738	0.8399187912
739	0.8398350013
740	0.8398028841
741	0.8397707871
742	0.8397289552
743	0.8396882713
744	0.8396466261
745	0.8396151667
746	0.8395839165
747	0.8395627291
748	0.8395375136
749	0.8395102248
750	0.8394921519
751	0.8394794908
752	0.8394605309
753	0.8394221809
754	0.8393985961
755	0.8393558021
756	0.8393375911
757	0.8393111975
758	0.8392774488
759	0.8392535926
760	0.8392357457
761	0.8392107452
762	0.8391964986
763	0.8391689477
764	0.8391024735
765	0.8390708715
766	0.8390300052
767	0.8390117278
768	0.8389902106
769	0.8389727284
770	0.8389499909
771	0.8388845297
772	0.8388464532
773	0.8388214677
774	0.8387946563
775	0.8387552753
776	0.8387158968
777	0.838660193
778	0.8385999922
779	0.8385658864
780	0.8385514438
781	0.838532491
782	0.8385008738
783	0.8384591093
784	0.8384393429
785	0.8383922507
786	0.8383248181
787	0.8382988661
788	0.8382361679
789	0.8381882405
790	0.8381411992
791	0.8380910541
792	0.838059676
793	0.8380152404
794	0.8379810344
795	0.8379606079
796	0.8379424948
797	0.8379225077
798	0.837898631
799	0.8378472236
800	0.8377912251
801	0.8377706397
802	0.8377301833
803	0.8376940425
804	0.8376596261
805	0.8376019293
806	0.8375542787
807	0.8375225919
808	0.8375091695
809	0.8374640848
810	0.837437172
811	0.8373902537
812	0.8373651137
813	0.8373295778
814	0.8372696378
815	0.8372435466
816	0.8371942219
817	0.8371344221
818	0.8370897531
819	0.8370664491
820	0.837043868
821	0.8369877753
822	0.8369592308
823	0.8369170987
824	0.8369044823
825	0.8368747457
826	0.836843632
827	0.8368081169
828	0.8367903537
829	0.8367395259
830	0.8367242929
831	0.8366923785
832	0.8366531284
833	0.836611496
834	0.8365759118
835	0.8365428935
836	0.8365008315
837	0.8364608543
838	0.8364415083
839	0.8364086058
840	0.8363669123
841	0.8363321279
842	0.83631006
843	0.8362824769
844	0.8362598554
845	0.8362219147
846	0.8362030277
847	0.8361538912
848	0.8361004745
849	0.8360610475
850	0.8359783512
851	0.8359330305
852	0.8359026012
853	0.8358095539
854	0.835775217
855	0.8357575698
856	0.8357104855
857	0.8356886897
858	0.8356477668
859	0.8356085166
860	0.8355776952
861	0.8355423456
862	0.835532126
863	0.8354642544
864	0.8354379055
865	0.8354003436
866	0.8353590575
867	0.835333251
868	0.8353074272
869	0.835260628
870	0.8352453032
871	0.8352266462
872	0.8352165177
873	0.8351644934
874	0.8351305874
875	0.8350887429
876	0.8350594346
877	0.8350180666
878	0.8349869526
879	0.8349442266
880	0.834906989
881	0.8348875665
882	0.8348655142
883	0.8348284094
884	0.8347482908
885	0.8347167243
886	0.8346412914
887	0.8346294756
888	0.8346025569
889	0.8345362496
890	0.8345218305
891	0.8344868281
892	0.8344574318
893	0.8344114971
894	0.8343922849
895	0.8343626891
896	0.8343280576
897	0.834315969
898	0.8342862059
899	0.8342537109
900	0.8342349026
901	0.8342045355
902	0.8341793558
903	0.8341438605
904	0.8341275319
905	0.8341041039
906	0.8340844989
907	0.8340489604
908	0.8340142017
909	0.8339933088
910	0.8339595889
911	0.833924872
912	0.8338912927
913	0.8338711288
914	0.8338419242
915	0.8338192463
916	0.8338017366
917	0.8337547146
918	0.833724903
919	0.8336998696
920	0.8336475385
921	0.8335977794
922	0.8335676324
923	0.8335406881
924	0.8335032138
925	0.8334435047
926	0.8334122866
927	0.8333665392
928	0.8333290065
929	0.833311141
930	0.83327461
931	0.8332428586
932	0.8332170638
933	0.8331742246
934	0.833137667
935	0.8330974024
936	0.8330640159
937	0.8330214601
938	0.833001263
939	0.8329640593
940	0.832942357
941	0.8329089683
942	0.8328878076
943	0.8328225704
944	0.8327805949
945	0.8327380719
946	0.8327061889
947	0.8326849379
948	0.8326585802
949	0.8326219538
950	0.8325463347
951	0.8325104035
952	0.8324789429
953	0.8324376563
954	0.8324173405
955	0.8323647984
956	0.832308875
957	0.8322405386
958	0.8322253291
959	0.8322092022
960	0.8321672923
961	0.8321544218
962	0.8321157825
963	0.8320998003
964	0.8320393511
965	0.8319866863
966	0.8319622909
967	0.8318989684
968	0.8318742626
969	0.8318179766
970	0.8317912477
971	0.8317464743
972	0.831734851
973	0.8317187855
974	0.8317019107
975	0.8316632228
976	0.8316414206
977	0.8315942598
978	0.8315503017
979	0.8315054638
980	0.8314703993
981	0.8314367896
982	0.8314059109
983	0.8313601123
984	0.831308892
985	0.8312755692
986	0.8312090064
987	0.8311565043
988	0.831129373
989	0.8310897545
990	0.8310793797
991	0.8310561528
992	0.8310256348
993	0.8309925678
994	0.8309704176
995	0.8309229092
996	0.8308941948
997	0.8308598265
998	0.8308369034
999	0.8308046321
